tick,price,mid_price,best_bid,best_ask,spread,trade_count,volume,regime,true_fair_value
1,100.0,100.0,99.8,100.2,0.4000000000000057,1,9,Efficient,99.27954835211035
2,100.0,100.0,99.8,100.2,0.4000000000000057,1,7,Efficient,98.42125878464199
3,100.0,100.0,99.8,100.2,0.4000000000000057,1,5,Efficient,97.36730428945147
4,100.0,100.0,99.8,100.2,0.4000000000000057,2,27,Efficient,96.70107199851087
5,100.0,100.0,99.8,100.2,0.4000000000000057,1,10,Efficient,97.89214971628036
6,100.0,100.0,99.8,100.2,0.4000000000000057,2,19,Efficient,104.30937574762054
7,100.495,100.495,100.29,100.7,0.4099999999999966,3,20,Efficient,106.22430080375015
8,100.495,100.495,100.29,100.7,0.4099999999999966,4,29,Efficient,115.02996237771926
9,101.05000000000001,101.05000000000001,100.9,101.2,0.29999999999999716,5,22,Efficient,119.24582235385253
10,101.67500000000001,101.67500000000001,101.59,101.76,0.1700000000000017,2,17,Efficient,121.60572700587052
11,102.175,102.175,101.96,102.39,0.4300000000000068,3,17,Efficient,120.09483790865518
12,102.74000000000001,102.74000000000001,102.59,102.89,0.29999999999999716,3,16,Efficient,128.4965910867574
13,103.28,103.28,103.1,103.46,0.35999999999999943,3,20,Efficient,126.66670255608601
14,103.925,103.925,103.85,104.0,0.15000000000000568,2,17,Trending,140.98322508975002
15,104.43,104.43,104.21,104.65,0.44000000000001194,3,16,Trending,142.91220529761077
16,104.955,104.955,104.75,105.16,0.4099999999999966,5,28,Trending,151.08554412621007
17,105.58500000000001,105.58500000000001,105.48,105.69,0.20999999999999375,3,16,Trending,147.793240113612
18,106.06,106.06,105.8,106.32,0.519999999999996,5,23,Trending,147.60024136081435
19,106.66499999999999,106.66499999999999,106.53,106.8,0.269999999999996,3,20,Trending,146.05610560111228
20,106.705,106.705,106.53,106.88,0.3499999999999943,5,27,Trending,142.79391359967755
21,107.27000000000001,107.27000000000001,107.09,107.45,0.35999999999999943,2,13,Trending,139.4110650463594
22,107.84,107.84,107.66,108.02,0.35999999999999943,3,18,Trending,139.25153470350327
23,108.41499999999999,108.41499999999999,108.24,108.59,0.3500000000000085,3,15,Trending,152.1575378189561
24,108.435,108.435,108.24,108.63,0.39000000000000057,4,25,Trending,145.42375558519015
25,109.06,109.06,108.93,109.19,0.2599999999999909,2,11,Trending,144.0298923811479
26,109.615,109.615,109.41,109.82,0.4099999999999966,4,29,Trending,158.57883674538584
27,110.21000000000001,110.21000000000001,110.04,110.38,0.3399999999999892,3,19,Trending,160.08324284447517
28,110.78999999999999,110.78999999999999,110.6,110.98,0.38000000000000966,4,15,Trending,160.72942691660407
29,111.455,111.455,111.34,111.57,0.22999999999998977,3,19,Trending,158.0096113575109
30,111.51,111.51,111.34,111.68,0.3400000000000034,5,24,Trending,153.21914390754677
31,112.095,112.095,111.9,112.29,0.39000000000000057,3,19,Trending,141.10293895914904
32,112.11,112.11,111.9,112.32,0.4199999999999875,4,20,Trending,143.44844264357994
33,112.715,112.715,112.54,112.89,0.3499999999999943,2,16,Trending,142.47832679801684
34,112.74000000000001,112.74000000000001,112.54,112.94,0.3999999999999915,4,20,Trending,147.79294879568192
35,112.755,112.755,112.54,112.97,0.4299999999999926,5,23,Trending,158.309862795186
36,112.755,112.755,112.53,112.98,0.45000000000000284,4,27,Trending,145.47516872024246
37,112.755,112.755,112.53,112.98,0.45000000000000284,3,11,Trending,148.91193540439838
38,112.755,112.755,112.53,112.98,0.45000000000000284,2,15,Efficient,154.07426576734292
39,112.755,112.755,112.53,112.98,0.45000000000000284,3,18,Efficient,162.6677631336357
40,113.47,113.47,113.4,113.54,0.14000000000000057,2,12,Efficient,166.05573010325756
41,113.67500000000001,113.67500000000001,113.65,113.7,0.04999999999999716,4,21,Efficient,163.9759632006567
42,113.855,113.855,113.81,113.9,0.09000000000000341,5,30,Efficient,162.86501841162146
43,114.045,114.045,114.01,114.08,0.06999999999999318,5,18,Efficient,144.80680336770232
44,114.75,114.75,114.66,114.84,0.18000000000000682,4,26,Efficient,149.22909338767792
45,115.4,115.4,115.25,115.55,0.29999999999999716,2,19,Efficient,147.48183628079028
46,115.995,115.995,115.78,116.21,0.4299999999999926,3,16,Trending,155.20996788816305
47,116.005,116.005,115.78,116.23,0.45000000000000284,4,28,Trending,153.72991992851328
48,116.00999999999999,116.00999999999999,115.78,116.24,0.45999999999999375,6,30,Trending,164.10100891685138
49,116.69,116.69,116.56,116.82,0.2599999999999909,3,20,Trending,165.6467116398624
50,117.32,117.32,117.13,117.51,0.38000000000000966,2,15,Trending,153.957636295281
51,118.05,118.05,117.96,118.14,0.18000000000000682,2,17,Trending,150.17194656765173
52,118.125,118.125,117.96,118.29,0.3300000000000125,4,28,Trending,148.0654289516614
53,118.125,118.125,117.89,118.36,0.46999999999999886,6,25,Trending,160.21734029746466
54,118.125,118.125,117.89,118.36,0.46999999999999886,3,16,Trending,158.03609596909035
55,118.655,118.655,118.36,118.95,0.5900000000000034,3,14,Trending,156.3931341569705
56,119.34,119.34,119.19,119.49,0.29999999999999716,1,10,Trending,157.87179344542997
57,119.38499999999999,119.38499999999999,119.19,119.58,0.39000000000000057,5,25,Trending,152.7471900489313
58,120.035,120.035,119.85,120.22,0.37000000000000455,3,17,Trending,156.42310829360108
59,120.66999999999999,120.66999999999999,120.46,120.88,0.4200000000000017,3,18,Trending,166.65840874549826
60,121.305,121.305,121.1,121.51,0.4100000000000108,4,20,Trending,169.33141053979045
61,122.005,122.005,121.86,122.15,0.29000000000000625,2,19,Trending,167.2105915409674
62,122.055,122.055,121.86,122.25,0.39000000000000057,5,30,Trending,169.60961464557298
63,122.72999999999999,122.72999999999999,122.55,122.91,0.35999999999999943,2,14,Trending,164.39491911296224
64,123.31,123.31,123.03,123.59,0.5600000000000023,5,30,Trending,162.59628336365495
65,124.005,124.005,123.84,124.17,0.3299999999999983,2,18,Trending,154.02413629811795
66,124.58000000000001,124.58000000000001,124.29,124.87,0.5799999999999983,5,32,Trending,155.8398531140513
67,125.285,125.285,125.12,125.45,0.3299999999999983,3,15,Trending,153.24806158428532
68,126.00999999999999,126.00999999999999,125.86,126.16,0.29999999999999716,2,20,Trending,148.4127287290359
69,126.65,126.65,126.41,126.89,0.480000000000004,2,15,Trending,142.86613815732142
70,126.655,126.655,126.41,126.9,0.4900000000000091,5,25,Trending,143.0548503255578
71,126.66,126.66,126.41,126.91,0.5,5,32,Trending,132.5343722693342
72,126.66,126.66,126.41,126.91,0.5,4,18,Trending,115.42702911545666
73,126.295,126.295,126.29,126.3,0.009999999999990905,3,20,Trending,117.91599715439729
74,126.1,126.1,126.04,126.16,0.11999999999999034,7,37,Efficient,113.90180100532724
75,125.74000000000001,125.74000000000001,125.7,125.78,0.0799999999999983,3,20,Efficient,110.89099162042231
76,125.225,125.225,125.12,125.33,0.20999999999999375,4,24,Efficient,117.14977912439858
77,125.225,125.225,124.97,125.48,0.5100000000000051,8,39,Efficient,127.39271860216151
78,124.99000000000001,124.99000000000001,124.97,125.01,0.04000000000000625,4,24,Efficient,131.98724889270025
79,124.875,124.875,124.74,125.01,0.27000000000001023,5,38,Efficient,121.54607874420049
80,124.435,124.435,124.29,124.58,0.28999999999999204,4,20,Trending,119.19158243942299
81,124.61500000000001,124.61500000000001,124.61,124.62,0.010000000000005116,5,33,Trending,133.8446557346064
82,124.495,124.495,124.37,124.62,0.25,3,24,Trending,124.7369175531833
83,124.435,124.435,124.25,124.62,0.37000000000000455,2,17,Trending,121.52853176797113
84,123.92,123.92,123.84,124.0,0.1599999999999966,3,13,Trending,127.44549689555139
85,124.14500000000001,124.14500000000001,124.12,124.17,0.04999999999999716,7,40,Efficient,135.32150610508546
86,124.14500000000001,124.14500000000001,123.9,124.39,0.4899999999999949,7,34,Efficient,136.345059555928
87,124.76,124.76,124.51,125.01,0.5,6,26,Efficient,132.0873590681633
88,125.41499999999999,125.41499999999999,125.26,125.57,0.30999999999998806,2,12,Efficient,124.64453653536218
89,125.465,125.465,125.26,125.67,0.4099999999999966,7,30,Efficient,127.55265942059093
90,125.685,125.685,125.65,125.72,0.06999999999999318,5,26,Efficient,126.88196640690235
91,125.895,125.895,125.85,125.94,0.09000000000000341,5,22,Efficient,131.94561208764017
92,126.67,126.67,126.56,126.78,0.21999999999999886,6,35,Trending,124.72597094942292
93,126.91499999999999,126.91499999999999,126.91,126.92,0.010000000000005116,4,27,Trending,137.2342939003877
94,127.11,127.11,127.05,127.17,0.12000000000000455,3,27,Trending,147.9846000132077
95,127.85499999999999,127.85499999999999,127.71,128.0,0.29000000000000625,3,20,Trending,145.54739275704216
96,128.51999999999998,128.51999999999998,128.29,128.75,0.46000000000000796,2,18,Trending,150.4556624948828
97,129.21499999999997,129.21499999999997,129.01,129.42,0.4099999999999966,3,19,Trending,152.48708055048323
98,129.24,129.24,129.01,129.47,0.46000000000000796,5,35,Trending,145.8440897445518
99,129.935,129.935,129.73,130.14,0.4099999999999966,3,11,Trending,144.55546803233506
100,129.95999999999998,129.95999999999998,129.73,130.19,0.46000000000000796,5,32,Trending,144.98672447224078
101,130.715,130.715,130.56,130.87,0.3100000000000023,2,12,Trending,140.22778065342635
102,131.315,131.315,131.0,131.63,0.6299999999999955,4,20,Trending,146.41368534256688
103,132.06,132.06,131.89,132.23,0.3400000000000034,3,17,Trending,144.79442394353413
104,132.735,132.735,132.49,132.98,0.4899999999999807,3,15,Trending,154.32300050894625
105,133.45499999999998,133.45499999999998,133.25,133.66,0.4099999999999966,3,18,Trending,143.05639189452774
106,134.16,134.16,133.93,134.39,0.45999999999997954,3,17,Trending,139.4174953491733
107,134.81,134.81,134.52,135.1,0.5799999999999841,4,19,Trending,141.34949895499875
108,134.81,134.81,134.54,135.08,0.5400000000000205,5,23,Trending,143.05652594167938
109,135.55,135.55,135.35,135.75,0.4000000000000057,4,20,Trending,144.18143003350102
110,136.305,136.305,136.11,136.5,0.38999999999998636,1,10,Trending,137.2196969113703
111,137.015,137.015,136.77,137.26,0.4899999999999807,3,15,Trending,135.07979108229208
112,137.75,137.75,137.53,137.97,0.4399999999999977,4,22,Trending,131.74060264377013
113,138.445,138.445,138.18,138.71,0.5300000000000011,5,27,Trending,129.630952734598
114,138.67000000000002,138.67000000000002,138.62,138.72,0.09999999999999432,4,22,Trending,122.8089510527601
115,138.785,138.785,138.62,138.95,0.3299999999999841,5,23,Trending,113.34035292220543
116,138.84,138.84,138.62,139.06,0.4399999999999977,5,25,Trending,107.39809357777565
117,139.475,139.475,139.14,139.81,0.6700000000000159,5,25,Trending,114.11655399158302
118,140.26999999999998,140.26999999999998,140.09,140.45,0.3599999999999852,2,19,Trending,108.16713813282321
119,140.10000000000002,140.10000000000002,140.09,140.11,0.020000000000010232,3,17,Trending,100.44873698333402
120,140.1,140.1,139.82,140.38,0.5600000000000023,7,37,Trending,101.7926766827753
121,140.1,140.1,139.82,140.38,0.5600000000000023,5,32,Efficient,98.02943479411803
122,139.24,139.24,139.14,139.34,0.20000000000001705,2,13,Efficient,104.64098417731033
123,138.655,138.655,138.62,138.69,0.06999999999999318,2,13,Efficient,111.09617772351099
124,138.26,138.26,138.18,138.34,0.1599999999999966,3,19,Efficient,103.31370278174245
125,138.16,138.16,137.98,138.34,0.36000000000001364,6,30,Efficient,105.18964088922237
126,138.11,138.11,137.88,138.34,0.46000000000000796,7,32,Trending,111.54832956745341
127,137.475,137.475,137.35,137.6,0.25,3,11,Trending,108.84148975791118
128,136.9,136.9,136.77,137.03,0.2599999999999909,4,32,Trending,109.49407059029899
129,136.675,136.675,136.63,136.72,0.09000000000000341,5,21,Trending,112.19359858581517
130,136.41500000000002,136.41500000000002,136.4,136.43,0.030000000000001137,4,20,Trending,119.25897424236024
131,136.075,136.075,136.02,136.13,0.10999999999998522,5,35,Trending,123.55625839065652
132,136.075,136.075,135.8,136.35,0.549999999999983,8,35,Trending,118.52294695773215
133,135.505,135.505,135.35,135.66,0.3100000000000023,5,26,Trending,127.94979952397695
134,135.505,135.505,135.23,135.78,0.5500000000000114,8,38,Trending,130.8128174424408
135,135.735,135.735,135.69,135.78,0.09000000000000341,5,18,Efficient,142.4522006101766
136,135.96499999999997,135.96499999999997,135.92,136.01,0.09000000000000341,3,24,Efficient,151.6261113164699
137,136.195,136.195,136.15,136.24,0.09000000000000341,4,21,Efficient,160.62985133312134
138,136.31,136.31,136.15,136.47,0.3199999999999932,6,27,Efficient,147.8994929528629
139,136.365,136.365,136.15,136.58,0.4300000000000068,6,34,Efficient,144.81843254090168
140,136.39499999999998,136.39499999999998,136.15,136.64,0.4899999999999807,6,24,Efficient,146.1471636298768
141,136.66,136.66,136.65,136.67,0.01999999999998181,2,10,Trending,151.63437242011273
142,136.87,136.87,136.81,136.93,0.12000000000000455,7,34,Trending,159.02855112575386
143,137.105,137.105,137.07,137.14,0.06999999999999318,5,23,Trending,160.2943047453518
144,137.10500000000002,137.10500000000002,136.83,137.38,0.549999999999983,9,41,Trending,171.6468177720671
145,137.10500000000002,137.10500000000002,136.83,137.38,0.549999999999983,5,34,Trending,168.17356994462546
146,137.10500000000002,137.10500000000002,136.83,137.38,0.549999999999983,3,23,Trending,159.5289430205005
147,137.10500000000002,137.10500000000002,136.83,137.38,0.549999999999983,2,14,Efficient,174.40331375701732
148,136.84,136.84,136.83,136.85,0.01999999999998181,1,9,Efficient,176.6592435237966
149,136.84,136.84,136.57,137.11,0.5400000000000205,6,35,Efficient,177.68792870787192
150,136.84,136.84,136.57,137.11,0.5400000000000205,6,39,Efficient,171.34647224777868
